
Movie,Release date,Actor,Actor Dob,Character,Director,Director dob
The Lord of the Rings: The Fellowship of the Ring,2001,Elijah Wood,1981/01/28,Frodo,Peter Jackson,1961/10/31
The Lord of the Rings: The Fellowship of the Ring,2001,Orlando Bloom,1977/01/13,Legolas,Peter Jackson,1961/10/31
The Lord of the Rings: The Fellowship of the Ring,2001,Sean Astin,1971/02/25,Sam,Peter Jackson,1961/10/31
The Lord of the Rings: The Fellowship of the Ring,2001,Billy Boyd,1968/08/28,Pippin,Peter Jackson,1961/10/31
The Lord of the Rings: The Fellowship of the Ring,2001,Ian McKellen,1939/05/25,Gandalf,Peter Jackson,1961/10/31
The Lord of the Rings: The Fellowship of the Ring,2001,Viggo Mortensen,1958/10/20,Aragon,Peter Jackson,1961/10/31
The Lord of the Rings: The Fellowship of the Ring,2001,Ian Holm,1931/06/19,Bilbo,Peter Jackson,1961/10/31
The Lord of the Rings: The Fellowship of the Ring,2001,Marton Csokas,1966/06/30,Celeborn,Peter Jackson,1961/10/31
The Lord of the Rings: The Two Towers,2002,Elijah Wood,1981/01/28,Frodo,Peter Jackson,1961/10/31
The Lord of the Rings: The Two Towers,2002,Orlando Bloom,1977/01/13,Legolas,Peter Jackson,1961/10/31
The Lord of the Rings: The Two Towers,2002,Sean Astin,1971/02/25,Sam,Peter Jackson,1961/10/31
The Lord of the Rings: The Two Towers,2002,Billy Boyd,1968/08/28,Pippin,Peter Jackson,1961/10/31
The Lord of the Rings: The Two Towers,2002,Ian McKellen,1939/05/25,Gandalf,Peter Jackson,1961/10/31
The Lord of the Rings: The Two Towers,2002,Viggo Mortensen,1958/10/20,Aragon,Peter Jackson,1961/10/31
The Lord of the Rings: The Return of the King,2003,Elijah Wood,1981/01/28,Frodo,Peter Jackson,1961/10/31
The Lord of the Rings: The Return of the King,2003,Orlando Bloom,1977/01/13,Legolas,Peter Jackson,1961/10/31
The Lord of the Rings: The Return of the King,2003,Sean Astin,1971/02/25,Sam,Peter Jackson,1961/10/31
The Lord of the Rings: The Return of the King,2003,Ian McKellen,1939/05/25,Gandalf,Peter Jackson,1961/10/31
The Lord of the Rings: The Return of the King,2003,Viggo Mortensen,1958/10/20,Aragon,Peter Jackson,1961/10/31
The Lord of the Rings: The Return of the King,2003,Ian Holm,1931/06/19,Bilbo,Peter Jackson,1961/10/31
The Lord of the Rings: The Return of the King,2003,Marton Csokas,1966/06/30,Celeborn,Peter Jackson,1961/10/31
